restaurant_name,restaurant_url,restaurant_link,original_location,country,region,province,city,address,vegetarian_friendly,vegan_options,gluten_free,cuisines,popularity_detailed,popularity_generic,price_level,price_range,avg_rating,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
Blue Orchid Restaurant and Civil Engineering Pub,https://www.tripadvisor.co.uk/Restaurant_Review-g1566233-d6856559,g1566233-d6856559,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Ealing"", ""Northolt""]",England,Greater London,Ealing,Northolt,"500 Ruislip Road, Northolt, Ealing UB5 6AT England",true,false,false,"Indian, Bar, Asian, Nepalese",#2 of 13 Restaurants in Northolt,#2 of 18 places to eat in Northolt,€€-€€€,,4,44,12,6,1,8,4,4,4,,
Blue Zenzer  Cafe Bar Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g580418-d1233167,g580418-d1233167,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Harrow""]",England,Greater London,,Harrow,"280 Watford Road Playgolf Northwick Park, Harrow HA1 3TZ England",true,true,false,"Indian, Fusion, Italian, Pizza",#45 of 267 Restaurants in Harrow,#48 of 343 places to eat in Harrow,€€-€€€,€23-€29,3.5,122,90,79,36,58,3.5,3,3,3.5,
Blue and Orange Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g14411998-d2406026,g14411998-d2406026,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Croydon"", ""Thornton Heath""]",England,Greater London,Croydon,Thornton Heath,"85 High Street, Thornton Heath, Croydon CR7 8RY England",true,true,true,"Mediterranean, European",#1 of 4 Restaurants in Thornton Heath,#1 of 12 places to eat in Thornton Heath,€€-€€€,,4.5,65,36,4,2,3,4.5,4.5,4,4.5,"mash, calamari, orange chicken, lovely local restaurant, chilli sauce"
Bocca Social,https://www.tripadvisor.co.uk/Restaurant_Review-g2549055-d14173854,g2549055-d14173854,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Beckenham""]",England,Greater London,,Beckenham,"72-74 High Street, Beckenham BR3 1ED England",true,true,true,Italian,#16 of 88 Restaurants in Beckenham,#17 of 109 places to eat in Beckenham,€€-€€€,,4.5,133,17,9,15,10,4.5,4.5,4,,"brunch, prime rib, risotto, sunday roast, wild mushrooms"
Bollywood Spice,https://www.tripadvisor.co.uk/Restaurant_Review-g1635501-d4075095,g1635501-d4075095,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Upminster""]",England,Greater London,,Upminster,"197 St. Marys Lane, Upminster RM14 3BU England",true,false,false,"Indian, Asian",#20 of 55 Restaurants in Upminster,#25 of 74 places to eat in Upminster,€€-€€€,,4.5,50,20,7,2,2,4.5,4.5,4.5,4,
Bollywoods,https://www.tripadvisor.co.uk/Restaurant_Review-g10283565-d4474813,g10283565-d4474813,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Waltham Forest"", ""Chingford""]",England,Greater London,Waltham Forest,Chingford,"99-101 Old Church Road, Chingford, Waltham Forest E4 6ST England",true,false,false,"Indian, Balti, Asian",#19 of 42 Restaurants in Chingford,#22 of 55 places to eat in Chingford,€€-€€€,,4,48,21,7,9,13,4,4,4,4.5,
Bombay Central,https://www.tripadvisor.co.uk/Restaurant_Review-g580418-d10455169,g580418-d10455169,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Harrow""]",England,Greater London,,Harrow,"328 High Road, Harrow HA3 6HS England",true,true,true,"Indian, Bar, Asian",#10 of 267 Restaurants in Harrow,#10 of 343 places to eat in Harrow,€€-€€€,€17-€35,4,346,146,72,46,52,4,4,4,,"crispy corn, chai, paneer tikka, pani puri, lamb chops"
Bombay Wok,https://www.tripadvisor.co.uk/Restaurant_Review-g528813-d3387907,g528813-d3387907,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Hounslow""]",England,Greater London,,Hounslow,"104-108 Hanworth Road, Hounslow TW3 1UF England",true,true,true,"Chinese, Indian, Asian, Fusion",#19 of 182 Restaurants in Hounslow,#34 of 383 places to eat in Hounslow,€€-€€€,,4,247,101,51,18,54,4,4,4,4,"chicken lollipops, prawns, paneer, indo chinese food, tai pai"
Bombaylicious,https://www.tripadvisor.co.uk/Restaurant_Review-g7383687-d20405898,g7383687-d20405898,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Coulsdon""]",England,Greater London,,Coulsdon,"145 Brighton Road, Coulsdon CR5 2NJ England",true,true,true,"Grill, Indian, Asian",#1 of 35 Restaurants in Coulsdon,#1 of 44 places to eat in Coulsdon,€€-€€€,€6-€29,5,88,1,0,1,0,5,4.5,4.5,,"butter chicken, paneer, curry, lamb chops, biriani"
Bombetta London,https://www.tripadvisor.co.uk/Restaurant_Review-g11808253-d10556834,g11808253-d10556834,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Wanstead""]",England,Greater London,,Wanstead,"1-5 Station Approach, Wanstead E11 England",true,false,true,"Italian, Mediterranean, European, Grill",#1 of 3 Restaurants in Wanstead,#1 of 4 places to eat in Wanstead,€€-€€€,€15-€37,4,168,46,30,18,14,4.5,4.5,4,,"bruschetta, chilli, food and wine, snaresbrook, cheese"
Boof,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7276947,g186338-d7276947,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Ealing""]",England,Greater London,,Ealing,"57 New Broadway, Ealing W5 5AH England",true,false,false,"Middle Eastern, Persian",#14 of 50 Restaurants in Ealing,#67 of 336 places to eat in Ealing,€€-€€€,,4,50,35,14,5,19,4,4,4,,
Bosco Lounge,https://www.tripadvisor.co.uk/Restaurant_Review-g1752250-d1104452,g1752250-d1104452,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Kingston upon Thames"", ""Surbiton""]",England,Greater London,Kingston upon Thames,Surbiton,"Broughton House 9 St. Mark's Hill Hotel Bosco, Surbiton, Kingston upon Thames KT6 4LQ England",false,false,false,Bar,#2 of 3 Bars & Pubs in Surbiton,#84 of 115 places to eat in Surbiton,€€-€€€,€17-€35,3,35,34,13,11,44,3,3.5,3,3.5,
Boulangerie Joie de Vie,https://www.tripadvisor.co.uk/Restaurant_Review-g17803131-d3836257,g17803131-d3836257,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Barnet"", ""North Finchley""]",England,Greater London,Barnet,North Finchley,"359 Ballards Lane, North Finchley, Barnet N12 8LJ England",true,true,false,"Cafe, French, European",#1 of 1 Bakery in North Finchley,#1 of 4 places to eat in North Finchley,€€-€€€,,4.5,67,21,7,7,1,4.5,4.5,4.5,4.5,"crepes, french toast, bread, tuna, cake"
Boxpark Croydon,https://www.tripadvisor.co.uk/Restaurant_Review-g504167-d11775095,g504167-d11775095,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Croydon""]",England,Greater London,,Croydon,"Boxpark Croydon 99 George Street, Croydon CR0 1LD England",true,false,false,"Fast food, American, Caribbean, Lebanese, Mediterranean, European, Asian, Greek, Vietnamese, Street Food",#10 of 340 Restaurants in Croydon,#12 of 490 places to eat in Croydon,€€-€€€,,4,321,171,76,27,34,4,4,3.5,,"kothu, burger, fries, chicken, box park"
Boxpark Wembley,https://www.tripadvisor.co.uk/Restaurant_Review-g528820-d15805524,g528820-d15805524,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Wembley""]",England,Greater London,,Wembley,"Boxpark Wembley 18 Olympic Way, Wembley HA9 0JT England",false,false,false,"American, European, Asian, South American, Bar, Pub, Street Food",#1 of 15 Quick Bites in Wembley,#25 of 206 places to eat in Wembley,€€-€€€,€5-€23,4,49,32,10,10,14,4.5,4,4,,"burger, chicken, food outlets, argentinian grill, table tennis"
Branching Out,https://www.tripadvisor.co.uk/Restaurant_Review-g2549055-d6896844,g2549055-d6896844,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Beckenham""]",England,Greater London,,Beckenham,"149 Croydon Road, Beckenham BR3 3QH England",true,true,true,"Cafe, British",#3 of 9 Coffee & Tea in Beckenham,#24 of 109 places to eat in Beckenham,€€-€€€,,4.5,57,8,3,0,1,5,4.5,5,5,"cakes, toasted sandwich, coffee cake, lovely cafe, beautiful flowers"
Branded,https://www.tripadvisor.co.uk/Restaurant_Review-g2549055-d3205895,g2549055-d3205895,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Beckenham""]",England,Greater London,,Beckenham,"51 High Street, Beckenham BR3 1AW England",true,false,true,"Steakhouse, British",#10 of 88 Restaurants in Beckenham,#11 of 109 places to eat in Beckenham,€€-€€€,,4.5,223,92,36,17,15,4.5,4.5,4,4,"steak, salt and pepper squid, sunday roast, cheesecake, chicken"
Braza London,https://www.tripadvisor.co.uk/Restaurant_Review-g580427-d3137103,g580427-d3137103,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Romford""]",England,Greater London,,Romford,"1A Arcade Place, Romford RM1 1RS England",false,false,true,"Brazilian, Barbecue",#30 of 194 Restaurants in Romford,#35 of 268 places to eat in Romford,€€-€€€,€13-€25,4,201,115,37,29,40,4.5,4,4,4,"lamb, skewers, salad, lasagna, rice"
Breakspear Arms,https://www.tripadvisor.co.uk/Restaurant_Review-g1646049-d3478344,g1646049-d3478344,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Uxbridge""]",England,Greater London,,Uxbridge,"Breakspear Road South, Uxbridge UB9 6LT England",true,true,true,"Bar, Indian, Pub",#23 of 99 Restaurants in Uxbridge,#24 of 150 places to eat in Uxbridge,€€-€€€,€9-€14,4,144,51,35,26,42,4,4,3.5,3.5,"tandoori chicken, mixed grill, indian food, non halal, the pub"
Brewers Fayre Dagenham 'Chequers Corner',https://www.tripadvisor.co.uk/Restaurant_Review-g2089670-d3958873,g2089670-d3958873,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Barking and Dagenham"", ""Dagenham""]",England,Greater London,Barking and Dagenham,Dagenham,"2 New Road, Dagenham RM9 6YS England",true,true,true,"Bar, British, Pub, Beer restaurants",#2 of 9 Quick Bites in Dagenham,#7 of 89 places to eat in Dagenham,€€-€€€,,3.5,189,96,80,49,91,3.5,3.5,3.5,3,"mixed grill, all you can eat, nice meal, family meal, table service"
Brewers Fayre Royal Forest,https://www.tripadvisor.co.uk/Restaurant_Review-g10283565-d3344016,g10283565-d3344016,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Waltham Forest"", ""Chingford""]",England,Greater London,Waltham Forest,Chingford,"4 Rangers Road, Chingford, Waltham Forest E4 7QH England",true,true,true,"Bar, British, Pub",#3 of 6 Quick Bites in Chingford,#24 of 55 places to eat in Chingford,€€-€€€,,3.5,108,69,72,53,60,3,3,3,3.5,"fish and chips, sunday roast, christmas dinner, table service, car park"
Brilliant,https://www.tripadvisor.co.uk/Restaurant_Review-g1646066-d1537895,g1646066-d1537895,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Ealing"", ""Southall""]",England,Greater London,Ealing,Southall,"72-76 Western Road, Southall, Ealing UB2 5DZ England",true,true,true,"Indian, Asian",#27 of 75 Restaurants in Southall,#27 of 96 places to eat in Southall,€€-€€€,,4,229,87,61,39,59,4,4,3.5,3.5,"lamb chops, butter chicken, curry, prawns, mixed grill"
British Raj,https://www.tripadvisor.co.uk/Restaurant_Review-g3205121-d2620496,g3205121-d2620496,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Crayford""]",England,Greater London,,Crayford,"68 Crayford High Street, Crayford DA1 4EF England",true,true,true,"Indian, Asian, Balti, Bangladeshi",#3 of 16 Restaurants in Crayford,#4 of 23 places to eat in Crayford,€€-€€€,,4.5,74,16,8,5,8,4.5,4.5,4.5,4.5,"curry, indian restaurant, without being in your face, head and shoulders, tasty food"
Bronco's,https://www.tripadvisor.co.uk/Restaurant_Review-g2549112-d7332865,g2549112-d7332865,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Worcester Park""]",England,Greater London,,Worcester Park,"63-65 Central Road, Worcester Park KT4 8EB England",true,false,true,American,#14 of 37 Restaurants in Worcester Park,#15 of 43 places to eat in Worcester Park,€€-€€€,€9-€25,3.5,98,81,31,26,44,3.5,3.5,3.5,3.5,"ribs, ice cream, burger, sorbet, soft play area"
Brook Pie And Mash,https://www.tripadvisor.co.uk/Restaurant_Review-g2089670-d5254434,g2089670-d5254434,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Barking and Dagenham"", ""Dagenham""]",England,Greater London,Barking and Dagenham,Dagenham,"833 Dagenham Road, Dagenham RM10 7UP England",false,false,false,British,#3 of 67 Restaurants in Dagenham,#3 of 89 places to eat in Dagenham,€,,4.5,56,15,3,2,1,4.5,4.5,4.5,,
Brouge Gastropub,https://www.tripadvisor.co.uk/Restaurant_Review-g528819-d1381538,g528819-d1381538,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Twickenham""]",England,Greater London,,Twickenham,"241 Hampton Road, Twickenham TW2 5NG England",true,true,true,"Belgian, Bar, European, British, Pub, Gastropub",#13 of 138 Restaurants in Twickenham,#13 of 174 places to eat in Twickenham,€€-€€€,€12-€29,4,240,157,48,21,14,4,4.5,4,4,"mussels, ribs, burger, apple crumble, bread"
Brown's of Bexley,https://www.tripadvisor.co.uk/Restaurant_Review-g1076982-d6368594,g1076982-d6368594,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Bexley""]",England,Greater London,,Bexley,"2 Bourne Road, Bexley DA5 1LD England",true,true,false,"Cafe, British, International, Deli",#3 of 37 Restaurants in Bexley,#3 of 44 places to eat in Bexley,€€-€€€,€3-€12,5,82,11,3,0,1,5,5,4.5,5,"scones, cream and jam, bread, afternoon tea, geraldine"
Browns,https://www.tripadvisor.co.uk/Restaurant_Review-g504175-d2239574,g504175-d2239574,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Kingston upon Thames""]",England,Greater London,,Kingston upon Thames,"3 Jerome Place Charter Quay, Kingston upon Thames KT1 1HT England",true,true,true,"Bar, European, British",#27 of 170 Restaurants in Kingston upon Thames,#41 of 365 places to eat in Kingston upon Thames,€€-€€€,€9-€28,3.5,392,266,170,105,102,3.5,4,3.5,4,"fish pie, prawn cocktail, pork belly, the river, our waiter"
Bru Coffee & Gelato Harrow,https://www.tripadvisor.co.uk/Restaurant_Review-g580418-d10102210,g580418-d10102210,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Harrow""]",England,Greater London,,Harrow,"St Georges Shopping Centre, Harrow HA1 1HS England",false,false,true,Cafe,#2 of 9 Coffee & Tea in Harrow,#55 of 343 places to eat in Harrow,€€-€€€,€2-€12,4,48,11,13,6,7,4,4,4,,
Buddha Belly,https://www.tripadvisor.co.uk/Restaurant_Review-g1637597-d2665421,g1637597-d2665421,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Bromley""]",England,Greater London,,Bromley,"48-54 Widmore Road Note..this establishment is now called The Buddha Kitchen, Bromley BR1 3BD England",true,false,false,"Italian, Mexican, Chinese, Asian",#163 of 176 Restaurants in Bromley,#326 of 415 places to eat in Bromley,€€-€€€,€12-€23,3,68,90,104,67,104,3,3,3,3,
Buddha Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g1637597-d11829762,g1637597-d11829762,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Bromley""]",England,Greater London,,Bromley,"50-54 Widmore Road, Bromley BR1 3BD England",true,false,false,Indian,#106 of 176 Restaurants in Bromley,#228 of 415 places to eat in Bromley,€€-€€€,€7-€18,3.5,67,16,16,13,41,3.5,3.5,3.5,,
Buenos Aires Argentine Steakhouse - Richmond,https://www.tripadvisor.co.uk/Restaurant_Review-g191301-d6594431,g191301-d6594431,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Richmond""]",England,Greater London,,Richmond,"13-19 The Square Old Palace Terrace, Richmond TW9 1EA England",false,false,true,"Steakhouse, Grill, Argentinian",#19 of 117 Restaurants in Richmond,#36 of 280 places to eat in Richmond,€€-€€€,€29-€58,4,438,255,104,52,54,4.5,4,4,4,"steak, gambas, chorizo, dulce de leche, fries"
Buhler and Co,https://www.tripadvisor.co.uk/Restaurant_Review-g10259438-d10397372,g10259438-d10397372,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Waltham Forest"", ""Walthamstow""]",England,Greater London,Waltham Forest,Walthamstow,"8 Chingford Road, Walthamstow, Waltham Forest E17 4PJ England",true,true,true,"Cafe, European, British",#2 of 52 Restaurants in Walthamstow,#2 of 68 places to eat in Walthamstow,€€-€€€,€6-€12,4.5,59,28,7,4,2,4.5,4.5,4,,"brunch, quinoa cakes, french toast, veggie breakfast, halloumi"
Bulstrode Pub Bul Bar Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g528813-d4880960,g528813-d4880960,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Hounslow""]",England,Greater London,,Hounslow,"55 Lampton Road, Hounslow TW3 1JG England",true,true,true,"Bar, Indian, Pub, British",#15 of 182 Restaurants in Hounslow,#20 of 383 places to eat in Hounslow,€€-€€€,€3-€10,4.5,104,54,14,4,4,4.5,4.5,4.5,3.5,"fries, live sports, indian food is, hounslow central tube station, cricket and football"
Burger & Bubbles,https://www.tripadvisor.co.uk/Restaurant_Review-g2549055-d13005546,g2549055-d13005546,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Beckenham""]",England,Greater London,,Beckenham,"1-4 Southend Road, Beckenham BR3 1SD England",true,false,true,"Bar, British",#51 of 88 Restaurants in Beckenham,#58 of 109 places to eat in Beckenham,€€-€€€,€9-€16,3.5,62,37,20,30,27,3.5,4,3.5,,"skinny fries, vegan burger, bottomless prosecco, great burgers, ordering food"
BurgerBey,https://www.tripadvisor.co.uk/Restaurant_Review-g2549007-d17635087,g2549007-d17635087,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Ickenham""]",England,Greater London,,Ickenham,"51 Swakeleys Road, Ickenham UB10 8DG England",true,true,false,Diner,#1 of 8 Restaurants in Ickenham,#1 of 11 places to eat in Ickenham,€€-€€€,€6-€17,5,41,5,0,0,0,5,5,5,,"rosemary chips, nachos, dirty fries, friendly service, portions are huge"
Busaba Kingston Riverside,https://www.tripadvisor.co.uk/Restaurant_Review-g504175-d6759678,g504175-d6759678,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Kingston upon Thames""]",England,Greater London,,Kingston upon Thames,"4 Riverside Walk Kingston-Upon-Thames, Kingston upon Thames KT1 1QN England",true,true,true,"Asian, Thai",#22 of 170 Restaurants in Kingston upon Thames,#36 of 365 places to eat in Kingston upon Thames,€€-€€€,€8-€22,4,368,162,72,48,61,4,4,3.5,4,"thai food, calamari, the river, our waiter, stir fry"
Busaba Westfield Stratford City,https://www.tripadvisor.co.uk/Restaurant_Review-g11963623-d2546786,g11963623-d2546786,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Stratford City""]",England,Greater London,,Stratford City,"Chestnut Plaza, Stratford City E20 1GL England",true,true,true,"Asian, Thai",#2 of 26 Restaurants in Stratford City,#2 of 39 places to eat in Stratford City,€€-€€€,€12-€23,4,394,200,110,60,68,4,4,3.5,4,"calamari, pad thai, pandan chicken, jasmine rice, fish cakes"
Butter Beans,https://www.tripadvisor.co.uk/Restaurant_Review-g11878701-d8834043,g11878701-d8834043,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Richmond"", ""Richmond""]",England,Greater London,Richmond,Richmond,"3 Westminster House Kew Road Unit 3 Westminster House, Richmond, Richmond TW9 2ND England",true,false,true,Cafe,#4 of 4 Coffee & Tea in Richmond,#8 of 20 places to eat in Richmond,€,,4,41,15,3,1,7,4.5,4.5,4.5,,"french toast, cakes, blueberries, cookies, great coffee"
Byrnes Pie & Eel House,https://www.tripadvisor.co.uk/Restaurant_Review-g3505898-d7784965,g3505898-d7784965,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Wallington""]",England,Greater London,,Wallington,"5 Ross Parade, Wallington SM6 8QG England",false,false,false,British,#5 of 48 Restaurants in Wallington,#5 of 60 places to eat in Wallington,€,,4.5,63,21,6,1,3,4,4.5,4,,"mash, pie, pastry, excellent food, battersea"
Cabana Wembley,https://www.tripadvisor.co.uk/Restaurant_Review-g528820-d5598048,g528820-d5598048,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Wembley""]",England,Greater London,,Wembley,"67A London Designer Outlet, Wembley Park Boulevard, Wembley HA9 0FD England",true,true,true,"Brazilian, Barbecue, South American",#24 of 157 Restaurants in Wembley,#24 of 206 places to eat in Wembley,€€-€€€,,3.5,262,163,137,88,99,3.5,3.5,3.5,4,"steak, chilli, brazilian food, nice food, malagueta"
Cafe 104,https://www.tripadvisor.co.uk/Restaurant_Review-g580420-d2403397,g580420-d2403397,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Ilford""]",England,Greater London,,Ilford,"104 Tanners Lane, Ilford IG6 1QE England",true,true,false,Cafe,#20 of 217 Restaurants in Ilford,#22 of 283 places to eat in Ilford,€€-€€€,,4,53,36,11,5,8,4.5,4,4,4.5,
Cafe Alhambra,https://www.tripadvisor.co.uk/Restaurant_Review-g191301-d5439904,g191301-d5439904,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Richmond""]",England,Greater London,,Richmond,"4 Church Court, Richmond TW9 1JL England",true,true,true,"Moroccan, Mediterranean, Middle Eastern, Cafe",#71 of 117 Restaurants in Richmond,#148 of 280 places to eat in Richmond,€€-€€€,,4,53,10,3,1,13,4.5,4,4.5,,
Cafe Bueno,https://www.tripadvisor.co.uk/Restaurant_Review-g580427-d4097982,g580427-d4097982,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Romford""]",England,Greater London,,Romford,"4 High Street, Romford RM1 1HR England",true,false,false,"Cafe, Mediterranean, International",#108 of 194 Restaurants in Romford,#129 of 268 places to eat in Romford,€,€3-€13,3.5,39,13,8,11,16,3.5,3.5,3.5,3.5,
Cafe Fino,https://www.tripadvisor.co.uk/Restaurant_Review-g580427-d4698036,g580427-d4698036,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Romford""]",England,Greater London,,Romford,"88 Market Place, Romford RM1 3ER England",true,false,false,"Cafe, International",#93 of 194 Restaurants in Romford,#111 of 268 places to eat in Romford,€,€3-€14,4,38,18,7,11,7,4.5,4,4,4,
Cafe Le Raj,https://www.tripadvisor.co.uk/Restaurant_Review-g1635501-d4913177,g1635501-d4913177,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Upminster""]",England,Greater London,,Upminster,"167 St. Marys Lane, Upminster RM14 3BL England",true,false,false,"Indian, Balti, Eastern European, Bangladeshi",#22 of 55 Restaurants in Upminster,#28 of 74 places to eat in Upminster,€€-€€€,,4.5,38,9,3,2,3,5,5,4.5,4,
Cafe Medi Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g1934185-d3215232,g1934185-d3215232,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Bromley"", ""Orpington""]",England,Greater London,Bromley,Orpington,"332 High Street, Orpington, Bromley BR6 0NQ England",true,true,true,"Italian, Mediterranean, European",#21 of 117 Restaurants in Orpington,#23 of 168 places to eat in Orpington,€€-€€€,€9-€35,4,113,63,17,16,7,4.5,4.5,4.5,4,"seafood linguine, pizza, chicken, ice cream, groupon voucher"
Cafe Pera,https://www.tripadvisor.co.uk/Restaurant_Review-g528819-d12967063,g528819-d12967063,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Twickenham""]",England,Greater London,,Twickenham,"36 Staines Road, Twickenham TW2 5AH England",true,true,true,"Cafe, British",#6 of 138 Restaurants in Twickenham,#6 of 174 places to eat in Twickenham,€,€2-€7,5,60,4,0,0,0,5,5,5,,"brunch, carrot cake, cakes, poached eggs, toasties"
Cafe Restaurant Moniz,https://www.tripadvisor.co.uk/Restaurant_Review-g528813-d1180664,g528813-d1180664,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Hounslow""]",England,Greater London,,Hounslow,"778 Bath Road Cranford, Houwnslow, Hounslow TW5 9TY England",true,true,true,"Mediterranean, European, Portuguese",#6 of 182 Restaurants in Hounslow,#8 of 383 places to eat in Hounslow,€€-€€€,,4.5,157,54,11,4,9,4.5,4.5,4.5,4,
Cafe Rouge,https://www.tripadvisor.co.uk/Restaurant_Review-g1637597-d1014635,g1637597-d1014635,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Bromley""]",England,Greater London,,Bromley,"12-13 Market Square, Bromley BR1 1NA England",true,true,true,"French, Cafe, European",#62 of 176 Restaurants in Bromley,#114 of 415 places to eat in Bromley,€€-€€€,,3.5,159,128,82,57,57,3.5,3.5,3.5,3.5,"poulet breton, baguette, salmon, pudding, my mum"
Cafe Rouge @ Swan - Ruislip,https://www.tripadvisor.co.uk/Restaurant_Review-g1869831-d2006464,g1869831-d2006464,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Ruislip""]",England,Greater London,,Ruislip,"10 High Street, Ruislip HA4 7AW England",true,true,true,"French, European",#20 of 80 Restaurants in Ruislip,#20 of 104 places to eat in Ruislip,€€-€€€,€29-€40,3.5,164,87,55,44,41,4,4,4,5,"steak, whitebait, fries, cake, car park"
Cafe Venice,https://www.tripadvisor.co.uk/Restaurant_Review-g528819-d1074771,g528819-d1074771,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Twickenham""]",England,Greater London,,Twickenham,"49 High Street Whitton, Twickenham TW2 7LB England",true,false,true,"Italian, Mediterranean, Pizza",#81 of 138 Restaurants in Twickenham,#89 of 174 places to eat in Twickenham,€€-€€€,€8-€17,3.5,48,30,11,15,14,3.5,4,4,3.5,
Caffe Caffe,https://www.tripadvisor.co.uk/Restaurant_Review-g528818-d7618905,g528818-d7618905,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Richmond"", ""Teddington""]",England,Greater London,Richmond,Teddington,"46 Broad Street, Teddington, Richmond TW11 8QY England",true,true,false,Cafe,#39 of 51 Restaurants in Teddington,#45 of 66 places to eat in Teddington,€,,4,45,17,2,2,10,4,4,4,,"tarts, paninis, falafel, salad, cafe cafe"
Caffe Del Mare,https://www.tripadvisor.co.uk/Restaurant_Review-g528819-d2411172,g528819-d2411172,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Twickenham""]",England,Greater London,,Twickenham,"55 York Street, Twickenham TW1 3LP England",true,true,true,Italian,#17 of 138 Restaurants in Twickenham,#17 of 174 places to eat in Twickenham,€€-€€€,,4.5,80,19,1,2,1,4.5,4.5,4.5,4.5,"pizza, ravioli, nice atmosphere, amazing food, specials"
Caffe Mamma,https://www.tripadvisor.co.uk/Restaurant_Review-g191301-d732780,g191301-d732780,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Richmond""]",England,Greater London,,Richmond,"110 Kew Road, Richmond TW9 2PQ England",true,true,true,"Italian, Pizza, Mediterranean, European",#23 of 117 Restaurants in Richmond,#42 of 280 places to eat in Richmond,€€-€€€,€17-€23,4,166,86,30,10,16,4.5,4.5,4,4,"pizza, zabaglione, linguine, sea bass, bread"
